transaction_id,date,month,department,category,transaction_type,budget_amount,actual_amount,description
TXN-0002,2024-01-01,2024-01,Faculty of Medicine,Equipment,expense,7383.7,5362.3,Office furniture
TXN-0025,2024-01-01,2024-01,Student Affairs,Equipment,expense,43818.19,32157.34,Computer hardware upgrade
TXN-0040,2024-01-01,2024-01,Faculty of Business,Salary,expense,27499.78,21684.39,Monthly staff salary
TXN-0029,2024-01-02,2024-01,Student Affairs,Training,expense,37328.84,30557.46,Conference registration
TXN-0007,2024-01-03,2024-01,Faculty of Medicine,Operations,expense,57842.89,41232.2,Building maintenance
TXN-0037,2024-01-04,2024-01,Research Office,Travel,revenue,14935.59,10739.12,Travel reimbursement received
TXN-0039,2024-01-05,2024-01,Faculty of Business,Salary,revenue,34617.58,31174.3,Consulting service income
TXN-0034,2024-01-05,2024-01,Research Office,Equipment,revenue,118843.76,92682.66,Equipment rental income
TXN-0032,2024-01-06,2024-01,Research Office,Salary,expense,79946.19,74676.75,Monthly staff salary
TXN-0008,2024-01-06,2024-01,Faculty of Medicine,Operations,revenue,130640.13,105352.82,Tuition fee collection
TXN-0028,2024-01-07,2024-01,Student Affairs,Marketing,revenue,87801.25,73081.18,Sponsorship revenue
TXN-0021,2024-01-08,2024-01,Admissions Office,Training,expense,41645.43,30456.26,Online course subscription
TXN-0013,2024-01-08,2024-01,Faculty of Engineering,Marketing,expense,42442.34,40223.08,Social media campaign
TXN-0046,2024-01-09,2024-01,Faculty of Business,Travel,expense,36768.18,48530.02,Field study transport
TXN-0045,2024-01-09,2024-01,Faculty of Business,Training,expense,20269.8,17788.51,Online course subscription
TXN-0018,2024-01-09,2024-01,Admissions Office,Salary,expense,16861.83,11818.6,Overtime compensation
TXN-0041,2024-01-09,2024-01,Faculty of Business,Equipment,expense,47224.52,34379.2,Office furniture
TXN-0033,2024-01-09,2024-01,Research Office,Equipment,expense,21031.05,24872.17,Computer hardware upgrade
TXN-0044,2024-01-10,2024-01,Faculty of Business,Marketing,expense,75419.75,82016.16,Brochure printing
TXN-0035,2024-01-11,2024-01,Research Office,Marketing,expense,77653.2,66950.3,Open day advertising
TXN-0012,2024-01-11,2024-01,Faculty of Engineering,Marketing,expense,9964.15,9522.52,Open day advertising
TXN-0017,2024-01-11,2024-01,Faculty of Engineering,Operations,expense,13591.38,12881.1,Office supplies
TXN-0023,2024-01-14,2024-01,Admissions Office,Operations,expense,40646.18,34709.6,Office supplies
TXN-0015,2024-01-14,2024-01,Faculty of Engineering,Training,expense,61683.66,58051.04,Conference registration
TXN-0030,2024-01-15,2024-01,Student Affairs,Travel,expense,59616.02,66594.46,Field study transport
TXN-0038,2024-01-17,2024-01,Research Office,Operations,expense,7980.62,5769.63,Office supplies
TXN-0014,2024-01-17,2024-01,Faculty of Engineering,Training,expense,37132.54,32059.83,Staff development workshop
TXN-0019,2024-01-20,2024-01,Admissions Office,Equipment,expense,12980.81,11359.3,Office furniture
TXN-0009,2024-01-20,2024-01,Faculty of Engineering,Salary,expense,55263.14,49543.94,Monthly staff salary
TXN-0006,2024-01-20,2024-01,Faculty of Medicine,Travel,expense,39456.87,61163.67,Field study transport
TXN-0024,2024-01-22,2024-01,Student Affairs,Salary,revenue,114513.45,102279.17,Consulting service income
TXN-0010,2024-01-23,2024-01,Faculty of Engineering,Salary,expense,45060.49,34631.11,Overtime compensation
TXN-0001,2024-01-24,2024-01,Faculty of Medicine,Salary,expense,25627.2,19540.71,Overtime compensation
TXN-0027,2024-01-24,2024-01,Student Affairs,Marketing,expense,22850.35,20275.43,Social media campaign
TXN-0022,2024-01-25,2024-01,Admissions Office,Travel,expense,47551.77,34334.85,Domestic conference travel
TXN-0031,2024-01-26,2024-01,Student Affairs,Operations,expense,25890.89,19934.58,Building maintenance
TXN-0005,2024-01-26,2024-01,Faculty of Medicine,Travel,expense,33494.55,26812.86,International research trip
TXN-0011,2024-01-26,2024-01,Faculty of Engineering,Equipment,expense,68213.89,62571.24,Lab equipment purchase
TXN-0003,2024-01-26,2024-01,Faculty of Medicine,Marketing,expense,57599.37,47085.5,Brochure printing
TXN-0042,2024-01-27,2024-01,Faculty of Business,Equipment,expense,31175.66,22423.45,Computer hardware upgrade
TXN-0026,2024-01-28,2024-01,Student Affairs,Equipment,expense,22258.6,28288.14,Lab equipment purchase
TXN-0016,2024-01-28,2024-01,Faculty of Engineering,Travel,expense,49691.63,41296.43,Field study transport
TXN-0047,2024-01-29,2024-01,Faculty of Business,Operations,expense,46376.03,49916.16,Office supplies
TXN-0020,2024-01-30,2024-01,Admissions Office,Marketing,expense,62188.31,52923.88,Open day advertising
TXN-0043,2024-01-30,2024-01,Faculty of Business,Marketing,expense,79042.48,105599.68,Brochure printing
TXN-0036,2024-01-31,2024-01,Research Office,Training,expense,40759.14,39023.96,Staff development workshop
TXN-0004,2024-01-31,2024-01,Faculty of Medicine,Training,revenue,28150.6,23036.54,Training programme fee
TXN-0072,2024-02-01,2024-02,Admissions Office,Marketing,expense,20512.58,16771.91,Open day advertising
TXN-0063,2024-02-01,2024-02,Faculty of Engineering,Training,expense,76399.97,58504.29,Staff development workshop
TXN-0055,2024-02-02,2024-02,Faculty of Medicine,Travel,revenue,21724.55,21110.01,Travel reimbursement received
TXN-0084,2024-02-03,2024-02,Student Affairs,Travel,revenue,87060.22,61943.29,Travel reimbursement received
TXN-0103,2024-02-03,2024-02,Faculty of Business,Training,expense,56702.84,65255.71,Online course subscription
TXN-0099,2024-02-04,2024-02,Faculty of Business,Equipment,expense,52208.43,65103.59,Lab equipment purchase
TXN-0056,2024-02-04,2024-02,Faculty of Medicine,Travel,expense,37592.28,33983.14,Field study transport
TXN-0075,2024-02-05,2024-02,Admissions Office,Training,expense,34164.29,30313.45,Online course subscription
TXN-0070,2024-02-05,2024-02,Admissions Office,Equipment,expense,58515.86,44803.15,Lab equipment purchase
TXN-0102,2024-02-06,2024-02,Faculty of Business,Marketing,expense,20826.89,18430.13,Social media campaign
TXN-0076,2024-02-06,2024-02,Admissions Office,Travel,revenue,90824.45,108990.65,Travel reimbursement received
TXN-0093,2024-02-07,2024-02,Research Office,Travel,expense,39030.89,30672.6,Field study transport
